rank,team,conference,jkbPower,jkbOffense,jkbDefense,sosPlayedRating,sosPlayedRank,sosRemainingRating,sosRemainingRank,rawPower,rawOffense,rawDefense,games,priorPerformanceSource,sourceClassification,transitionShrinkageApplied,transitionPriorPerformanceWeight,rawYppOffense,rawYppDefenseAllowed,adjustedYppOffense,adjustedYppDefenseAllowed,rawPointsPerPlayOffense,rawPointsPerPlayDefenseAllowed,adjustedPointsPerPlayOffense,adjustedPointsPerPlayDefenseAllowed,standardizedYppOffense,standardizedYppDefense,standardizedPointsPerPlayOffense,standardizedPointsPerPlayDefense,returningProduction,standardizedReturningProduction,sosProvenance
33,Wake Forest,acc,84.8913043478261,72.06521739130434,90.02173913043478,,,69.5,69,0.5547008632084133,0.09143882006412027,1.0179629063527063,12,prior-fbs-opponent-adjusted,fbs,false,,5.808483421274983,4.800216058705342,5.793171934626565,4.765603653328979,0.41665782895400144,0.33156378776125733,0.4170787398671453,0.3291534103472309,0.20580125872127625,1.3102143192711149,0.24857354147914845,0.7257114934342976,14.2,-1.1302984002607086,complete-current-cfbd-schedule
34,Tennessee,sec,84.46376811594203,93.44202898550725,64.79710144927536,,,94.29710144927536,11,0.5341689247865733,1.2566043575297743,-0.18826650795662772,12,prior-fbs-opponent-adjusted,fbs,false,,6.509496617181502,5.768233050754994,6.519019567484644,5.756413754884375,0.5482424149669678,0.41630499681437966,0.5472494714681603,0.4129698853679901,1.2321631199844305,-0.16074251330855766,1.6311086909072543,-0.2157905026046978,35.3,-0.3186795737148376,complete-current-cfbd-schedule
35,Alabama,sec,84.03623188405797,73.77536231884058,87.02898550724638,,,96.0072463768116,7,0.5037451018118497,0.156887822114456,0.8506023815092434,14,prior-fbs-opponent-adjusted,fbs,false,,5.488002266585705,5.08549816801694,5.6236977659522775,5.044876177111809,0.42653460527338005,0.3297168252291738,0.4435168946478243,0.32204153448665895,-0.033838323089658444,0.8956062865459302,0.529371519801523,0.8055984764725564,26.400000000000002,-0.6610211640588304,complete-current-cfbd-schedule
36,Penn State,big-ten,83.6086956521739,81.89855072463769,79.76086956521739,,,59.666666666666664,92,0.4631225987677267,0.43090649409184567,0.49533870344360775,12,prior-fbs-opponent-adjusted,fbs,false,,5.793892688431478,5.426944277110043,5.832353030908045,5.387553955416076,0.4810692966646133,0.34850185802587635,0.48820105776109946,0.34000554120373383,0.2612040472479066,0.3868668029873837,1.0039592045065233,0.6038106038998318,7.6,-1.3841696919764785,complete-current-cfbd-schedule
37,Pittsburgh,acc,83.18115942028986,77.19565217391305,84.46376811594203,,,62.65942028985507,85,0.4515475378311018,0.2407294677907681,0.6623656078714355,12,prior-fbs-opponent-adjusted,fbs,false,,5.573268975435956,4.956563846870787,5.584225499361984,4.919323483277432,0.4510744311306625,0.376659923327385,0.45561025375873787,0.3721505132751219,-0.08965283177155225,1.082001835556323,0.6578143259519978,0.24272938018654808,39.7,-0.14943204590432402,complete-current-cfbd-schedule
38,Western Michigan,mac,82.7536231884058,63.51449275362319,91.30434782608695,,,55.81884057971015,101,0.4231158299790999,-0.2531343617190271,1.099366021677227,13,prior-fbs-opponent-adjusted,fbs,false,,5.218083562288286,4.946525773866008,5.231955634625362,4.966795290890359,0.34902494766201336,0.28559865744246726,0.350889698730365,0.28806914807529554,-0.5877688793700588,1.0115251825089588,-0.4544160995334246,1.187206860845495,99.7,2.158488787875404,complete-current-cfbd-schedule
39,Tulane,american,82.32608695652173,80.6159420289855,78.05072463768116,,,71.6376811594203,64,0.40935322246653194,0.3820072814033376,0.4366991635297262,14,prior-fbs-opponent-adjusted,fbs,false,,6.203714737781895,5.544256379171685,6.193969798437877,5.502804555999777,0.41920823907191435,0.34285517736091425,0.4190415375068361,0.33521408175411976,0.7725367867712876,0.21576574323700706,0.26942029170257514,0.6576325838224454,21,-0.868734039099006,complete-current-cfbd-schedule
40,New Mexico,mountain-west,81.89855072463769,76.76811594202898,81.89855072463769,,,48.97826086956522,117,0.40513987076284835,0.2407248912086922,0.5695548503170045,12,prior-fbs-opponent-adjusted,fbs,false,,5.7070370383553515,5.293998171679775,5.67903469744605,5.289077860179754,0.4302179198567133,0.3388910763666159,0.42809785735672534,0.3398066017065718,0.04440911264406777,0.5330644294611538,0.3656068949653759,0.606045271172855,58.199999999999996,0.5621768778444252,complete-current-cfbd-schedule
41,Sacramento State,mac,81.47101449275362,85.31884057971014,72.06521739130434,,,59.23913043478261,93,0.3923510329263645,0.64053489028887,0.14416717556385894,12,prior-fcs-fallback,fcs,true,0.5,6.501647894662359,5.453923645179415,,,0.5212095482593305,,,,0.6037996280522224,0.14416717556385894,0.6772701525255176,,,,complete-current-cfbd-schedule
42,Virginia,acc,81.04347826086956,63.08695652173913,89.16666666666667,,,54.96376811594203,103,0.37536559122478064,-0.25626999529624817,1.0070011777458094,13,prior-fbs-opponent-adjusted,fbs,false,,5.416134957915049,4.952140802503698,5.448232727217419,4.952494278748468,0.3923794264566037,0.3092304139709006,0.39403360056682396,0.3064046617538003,-0.28194910500872433,1.0327564673837268,0.0038125670704219237,0.9812458881078923,9.5,-1.3110855322401205,complete-current-cfbd-schedule
