gsis_id,pfr_id,espn_id,display_name,position,position_group,status
00-0003378,ConnAl00,3998318,Albert Connell,WR,WR,SUS
CON394516,ConnMi20,,Mike Connell,P,SPEC,ACT
00-0035533,ConnRy00,3121538,Ryan Connelly,ILB,LB,DEV
00-0038982,ConnCh01,4361964,Chamarri Conner,DB,DB,ACT
00-0003381,ConnDa20,7106,Darion Conner,DE,DL,ACT
00-0041207,ConnEt00,5151528,Ethan Conner,TE,TE,ACT
00-0040219,ConnHa00,4431214,Hayden Conner,G,OL,ACT
00-0033553,ConnJa00,3045147,James Conner,RB,RB,ACT
00-0037265,ConnSn00,4567246,Snoop Conner,RB,RB,DEV
00-0027739,ConnJo00,13341,John Conner,FB,RB,ACT
00-0027831,ConnKa99,13342,Kavell Conner,OLB,LB,ACT
00-0037348,ConnTa00,4047422,Tanner Conner,TE,TE,ACT
CON477572,ConnDa00,,Dan Conners,MLB,LB,ACT
00-0022979,ConnDa21,9298,Dan Connolly,G,OL,ACT
00-0026214,ConnDa99,11308,Dan Connor,ILB,LB,ACT
00-0041415,ConnDe00,5082269,Dean Connors,RB,RB,ACT
00-0022390,ConnSc20,6325,Scott Connot,DB,DB,ACT
00-0003385,ConoFr20,,Frank Conover,DT,DL,RES
00-0003386,ConoSc20,6854,Scott Conover,G,OL,ACT
00-0023871,ConoSe20,9907,Sean Conover,TE,TE,DEV
00-0033766,ConqZa00,2979985,Zach Conque,TE,TE,DEV
00-0035009,ConrCJ01,3915230,C.J. Conrad,TE,TE,CUT
00-0003388,ConrCh20,,Chris Conrad,OT,OL,RES
00-0003389,ConrJ.20,,J.R. Conrad,C,OL,ACT
00-0028878,ConrMa00,15142,Matt Conrath,DT,DL,DEV
00-0023537,ConsSe20,8516,Sean Considine,DB,DB,ACT
CON687807,ConsNi00,4578937,Nik Constantinou,P,SPEC,ACT
00-0028031,ContCh00,14016,Chris Conte,FS,DB,RES
CON747504,ContBi20,,Bill Contz,OT,OL,ACT
00-0003395,conwabre01,1241,Brett Conway,K,SPEC,ACT
00-0035515,ConwCo00,3916465,Cody Conway,OT,OL,RES
00-0003396,ConwCu00,388,Curtis Conway,WR,WR,ACT
00-0030859,ConwGa00,17329,Gannon Conway,DE,DL,DEV
00-0003400,ConwEr00,926,Ernie Conwell,TE,TE,RES
CON789032,ConwJo20,,Joe Conwell,OT,OL,ACT
00-0040301,ConyJa00,4431044,Jalin Conyers,TE,TE,RES
00-0038475,CookAl00,4243320,Alex Cook,SAF,DB,ACT
00-0003404,CookAn20,785,Anthony Cook,DE,DL,ACT
00-0040398,CookBr03,4429435,Brady Cook,QB,QB,ACT
00-0037193,CookBr02,4247726,Bryan Cook,SAF,DB,ACT
COO019315,CookCh20,,Charles Cook,DE,DL,ACT
00-0027649,CookCh99,13268,Chris Cook,CB,DB,RES
00-0032893,CookCo00,2576261,Connor Cook,QB,QB,DEV
00-0033893,CookDa01,3116593,Dalvin Cook,RB,RB,DEV
00-0020143,CookDa20,3441,Damion Cook,OT,OL,RES
00-0037480,CookDy00,4570898,Dylan Cook,OT,OL,ACT
00-0026648,CookEm99,12967,Emanuel Cook,DB,DB,RES
00-0027821,CookEr00,13343,Erik Cook,C,OL,ACT
COO115890,CookFr20,,Fred Cook,DE,DL,ACT
00-0020391,CookJa00,2723,Jameel Cook,RB,RB,ACT
00-0037248,CookJa01,4379399,James Cook,RB,RB,ACT
00-0027061,CookJa02,12537,Jared Cook,TE,TE,ACT
COO173835,CookKe20,,Kelly Cook,RB,RB,ACT
00-0031992,CookKe00,2987210,Kenny Cook,WR,WR,RES
00-0024670,CookKy20,11136,Kyle Cook,C,OL,ACT
00-0003418,CookMa00,6600,Marv Cook,TE,TE,ACT
00-0003422,CookRa20,1937,Rashard Cook,DB,DB,RES
00-0035729,CookRi00,4239773,Rishard Cook,G,OL,CUT
00-0024266,CookRy20,9637,Ryan Cook,C,OL,RES
00-0033683,CookTi00,3930272,Tim Cook,RB,RB,NWT
00-0003426,CookTo20,6593,Toi Cook,DB,DB,ACT
00-0034437,CookLo00,3115480,Logan Cooke,P,SPEC,ACT
COO289725,CookBi20,,Bill Cooke,DE,DL,ACT
00-0031236,CookBr00,16731,Brandin Cooks,WR,WR,ACT
00-0038667,CookEl00,4241588,Elijah Cooks,WR,WR,DEV
00-0003431,CookJo20,,Johnie Cooks,LB,LB,ACT
00-0003432,CookKe21,8234,Kerry Cooks,DB,DB,ACT
COO328355,CookRa21,,Rayford Cooks,DE,DL,ACT
COO347670,CookTe21,,Terrence Cooks,LB,LB,ACT
00-0035812,CookCa00,3913822,Case Cookus,QB,QB,DEV
00-0022738,CoolCh00,5606,Chris Cooley,TE,TE,ACT
COO386300,CoomLa20,,Larry Coombs,C,OL,ACT
COO405615,CoomTo20,,Tom Coombs,TE,TE,ACT
COO463560,CoonMa20,,Mark Cooney,LB,LB,ACT
00-0036539,CoonNo00,4047860,Nolan Cooney,P,SPEC,CUT
00-0031112,CoonTr00,17130,Travis Coons,K,SPEC,CUT
00-0003440,CoopAd00,6780,Adrian Cooper,TE,TE,ACT
00-0003457,CoopLo20,6924,Louis Cooper,LB,LB,ACT
00-0031544,CoopAm00,2976499,Amari Cooper,WR,WR,ACT
