season,week,game_id,kickoff_utc,team,opponent,venue,team_spread,closing_total,implied_team_total,team_total_margin,team_points,team_sack_rate,team_sacks,pass_plays,team_pass_epa_db,team_pass_epa,team_pass_success_rate,team_explosive_pass_rate,actual_hits_allowed,historical_pass_rush_edge_z,offense_prior_games,defense_prior_games,protection_z,pass_rush_z,protection_percentile,pass_rush_percentile,protection_quintile,rush_quintile,protection_quintile_label,rush_quintile_label,risk_group,component_interaction,additive_matchup_z,protection_raw_prior4,protection_raw_prior8,protection_raw_prior16,protection_raw_season_to_date,protection_raw_ewma,pass_rush_raw_prior4,pass_rush_raw_prior8,pass_rush_raw_prior16,pass_rush_raw_season_to_date,pass_rush_raw_ewma
2024,2,2024_02_NO_DAL,2024-09-15T17:00:00.000Z,dal,no,home,-6.5,47,26.75,-7.75,19,0.0612244897959,3,49,-0.209435025163,-10.262316233,0.408163265306,0.047619047619,3,-0.925343188978,8,8,-0.629902507847,-0.678730379855,0.265625,0.265625,1,1,good,poor,other,0.427533968423,-0.925343188978,0.140243902439,0.122448979592,0.128242074928,,0.121934443238,0.0980392156863,0.122033898305,0.104333868379,,0.113478857322
2024,2,2024_02_NO_DAL,2024-09-15T17:00:00.000Z,no,dal,away,6.5,47,20.25,23.75,44,0.0526315789474,1,19,0.783527925776,14.8870305897,0.526315789474,0.1875,1,-0.292833829422,8,8,-1.36838535479,0.954255781702,0.046875,0.859375,0,4,elite protection,elite rush,elite protection + elite rush,-1.30578963641,-0.292833829422,0.0579710144928,0.0959409594096,0.104501607717,,0.0897270756449,0.215568862275,0.176100628931,0.162029459902,,0.193457071804
2024,2,2024_02_NYG_WAS,2024-09-15T17:00:00.000Z,nyg,wsh,away,1.5,42.5,20.5,-2.5,18,0.0322580645161,1,31,0.302024264625,9.36275220336,0.451612903226,0.107142857143,4,-0.224761035186,8,8,1.01626225861,-1.33412236286,0.890625,0.109375,4,0,very poor,very poor rush,very poor protection + very poor rush,-1.35581820574,-0.224761035186,0.171270718232,0.181538461538,0.192660550459,,0.181367092968,0.0548780487805,0.100334448161,0.104294478528,,0.0865982959862
2024,2,2024_02_NYG_WAS,2024-09-15T17:00:00.000Z,wsh,nyg,home,-1.5,42.5,22,-1,21,0.121951219512,5,41,0.249618048606,10.2343399928,0.487804878049,0.137931034483,7,-0.575864335464,8,8,-0.0364806647328,-0.777914488568,0.578125,0.171875,2,0,average,very poor rush,other,0.0283788376483,-0.575864335464,0.135714285714,0.14375,0.169705469846,,0.1473380085,0.117647058824,0.11875,0.1216,,0.118798102432
2024,2,2024_02_NYJ_TEN,2024-09-15T17:00:00.000Z,nyj,ten,away,-3.5,41.5,22.5,1.5,24,0.0588235294118,2,34,0.119490011523,4.06266039177,0.411764705882,0.0666666666667,3,-0.0737866695898,8,8,0.764868445328,-0.869218554185,0.859375,0.140625,4,0,very poor,very poor rush,very poor protection + very poor rush,-0.66483784419,-0.0737866695898,0.11875,0.172514619883,0.17335243553,,0.164516281692,0.0754716981132,0.115727002967,0.117739403454,,0.104574661939
2024,2,2024_02_NYJ_TEN,2024-09-15T17:00:00.000Z,ten,nyj,home,3.5,41.5,19,-2,17,0.105263157895,4,38,-0.0811192025385,-3.08252969646,0.368421052632,0.0714285714286,6,1.91430979985,8,8,2.63332539191,0.0739174896194,0.953125,0.546875,4,2,very poor,average,other,0.194648802321,1.91430979985,0.268115942029,0.239583333333,0.244827586207,,0.251344219325,0.130136986301,0.146953405018,0.16955017301,,0.155273896573
2024,2,2024_02_SEA_NE,2024-09-15T17:00:00.000Z,ne,sea,home,3.5,39,17.75,2.25,20,0.0909090909091,3,33,0.056545091117,1.86598800686,0.454545454545,0.037037037037,8,0.307785478335,8,8,0.685762427188,-0.250488029426,0.828125,0.390625,4,1,very poor,poor,other,-0.171775279041,0.307785478335,0.222222222222,0.169675090253,0.148148148148,,0.179835867907,0.145833333333,0.136212624585,0.145427286357,,0.134819762883
2024,2,2024_02_SEA_NE,2024-09-15T17:00:00.000Z,sea,ne,away,-3.5,39,21.25,1.75,23,0.0588235294118,3,51,0.237852829627,12.130494311,0.549019607843,0.0454545454545,6,-0.00211953157895,8,8,0.133099850266,-0.136097320571,0.640625,0.453125,3,2,poor,average,other,-0.0181145329895,-0.00211953157895,0.137931034483,0.14983713355,0.149920255183,,0.142918256236,0.165467625899,0.14,0.120826709062,,0.131177031415
2024,2,2024_02_SF_MIN,2024-09-15T17:00:00.000Z,min,sf,home,4.5,46.5,21,2,23,0.129032258065,4,31,-0.118696406181,-3.67958859161,0.41935483871,0.0769230769231,6,2.13360777522,8,8,2.98702970958,0.0303473429201,0.984375,0.515625,4,2,very poor,average,other,0.0906484149093,2.13360777522,0.260869565217,0.252279635258,0.204411764706,,0.225799388068,0.120567375887,0.145510835913,0.165912518854,,0.144821124425
2024,2,2024_02_SF_MIN,2024-09-15T17:00:00.000Z,sf,min,away,-4.5,46.5,25.5,-8.5,17,0.136363636364,6,44,-0.0233392642,-1.0269276248,0.5,0.138888888889,7,-0.242634707695,8,8,-0.306489405811,-0.0366478885137,0.390625,0.484375,1,2,good,average,other,0.0112321895748,-0.242634707695,0.12582781457,0.134057971014,0.136029411765,,0.131908267148,0.12962962963,0.143292682927,0.14201183432,,0.144398509164
