window,protection_quintile,protection_label,rush_quintile,rush_label,group,dimension,n,games,small_n_lt_25,mean_team_sack_rate,median_team_sack_rate,mean_team_sacks,median_team_sacks,mean_team_pass_epa_db,median_team_pass_epa_db,mean_team_pass_success_rate,median_team_pass_success_rate,mean_team_explosive_pass_rate,median_team_explosive_pass_rate,mean_team_points,median_team_points,mean_team_total_margin,median_team_total_margin
2024,1,elite protection,5,elite rush,,matrix,22,22,True,0.0508997244045,0.0449494949494,1.81818181818,1.5,0.233213395481,0.191986331788,0.492940905352,0.47824074074,0.107155558498,0.0883116883117,25.7272727273,24,3.06818181818,0.375
2024,2,good,1,very poor rush,,matrix,14,14,True,0.0440639300807,0.0367746288799,1.78571428571,2,0.246553959509,0.22921460252,0.508434326492,0.534108527132,0.0961220319343,0.103006189213,27.5,26.5,2.89285714286,3
2024,2,good,2,poor,,matrix,23,23,True,0.0634847093231,0.0769230769231,2.4347826087,3,-0.00696606328503,-0.0753581074639,0.435103131654,0.4,0.0866163194027,0.0833333333333,22.4347826087,26,0.130434782609,4
2024,2,good,3,average,,matrix,31,30,False,0.0594831950528,0.0512820512821,2.41935483871,2,0.147056626012,0.162837824862,0.487826966428,0.485714285714,0.0979563608486,0.1,24.1612903226,23,1.58870967742,0.5
2024,2,good,4,good,,matrix,20,20,True,0.0719852964925,0.0645833333334,2.7,2,-0.010081653335,0.038040581867,0.434578504952,0.448684210526,0.0883437472718,0.0784615384616,20.3,19.5,-2.7,-4.125
2024,2,good,5,elite rush,,matrix,31,30,False,0.0509636478711,0.0416666666667,1.83870967742,2,0.127279381594,0.145388361162,0.468049954701,0.475,0.100189037464,0.0882352941176,24.5161290323,27,2.12096774194,3.75
2024,3,average,1,very poor rush,,matrix,28,27,False,0.0644411811848,0.0620192307692,2.71428571429,2,0.102063684048,0.146922188141,0.457442977834,0.486759581882,0.0893204693129,0.0811403508772,22.7857142857,21.5,-0.357142857143,0.25
2024,3,average,2,poor,,matrix,25,25,False,0.0622260124866,0.0625,2.44,2,0.0483541056073,0.0600167836123,0.465662880579,0.488372093023,0.0940134465804,0.0810810810811,20.72,22,-1.38,-0.75
2024,3,average,3,average,,matrix,22,22,True,0.060691387284,0.0580808080809,2.5,3,0.153662174177,0.169914953052,0.492126723819,0.513553113554,0.0893997784532,0.0883116883117,25.2727272727,24,1.72727272727,1.25
2024,3,average,4,good,,matrix,18,17,True,0.0574577813777,0.0540935672515,2.33333333333,2,0.0170942550982,0.0827770779094,0.431898059617,0.410427807486,0.0877729495856,0.0904761904762,20.1111111111,21.5,-1.43055555556,-0.75
2024,3,average,5,elite rush,,matrix,16,15,True,0.0619722472806,0.0611801242236,2.5625,2.5,0.0816785236732,0.0566854195944,0.461150573798,0.453346855983,0.102027744017,0.0811403508772,24.25,20,3.5625,1.875
2024,4,poor,1,very poor rush,,matrix,23,23,True,0.0632125218824,0.0666666666667,2.39130434783,2,0.0821716920205,0.0566588799195,0.486423995479,0.458333333333,0.0920058253436,0.0789473684211,23.4782608696,20,-0.217391304348,-3
2024,4,poor,2,poor,,matrix,22,22,True,0.0668398038779,0.0625610948192,2.77272727273,2,-0.00418964954593,0.0713945813439,0.436521589516,0.421541826134,0.0892192222375,0.0938416422287,21.0909090909,23.5,-0.5,1.5
2024,4,poor,3,average,,matrix,27,27,False,0.0655745871984,0.0681818181818,2.66666666667,3,0.0304674404167,0.0305957041996,0.469865947351,0.458333333333,0.0669080576836,0.0588235294118,21.6666666667,21,0.731481481481,0.25
2024,4,poor,4,good,,matrix,26,26,False,0.063164348614,0.0659420289855,2.5,2.5,0.122707496983,0.122202887101,0.489793749966,0.494444444444,0.0998847914149,0.109126984127,23.2692307692,26,0.798076923077,1.625
2024,4,poor,5,elite rush,,matrix,9,9,True,0.0517253539092,0.0487804878049,2.22222222222,2,-0.108291226646,-0.104719697783,0.380294118148,0.396825396825,0.0998310747326,0.0882352941176,15.8888888889,14,-2.38888888889,-2
2024,5,very poor,1,very poor rush,,matrix,16,16,True,0.0808779354054,0.0594117647059,3.0625,2.5,0.0532046612171,0.0858630066998,0.448375299232,0.441492726123,0.0714917960456,0.0682170542636,20.25,17.5,-0.21875,0.125
2024,5,very poor,2,poor,,matrix,23,23,True,0.0662624149764,0.046511627907,2.65217391304,2,0.0186750740604,0.0415435777513,0.446470168904,0.454545454545,0.0909145524744,0.0810810810811,21,20,-0.326086956522,-2
2024,5,very poor,3,average,,matrix,13,13,True,0.0664762421218,0.0652173913043,2.69230769231,3,0.158174099085,0.0106325489323,0.47737980868,0.480769230769,0.0895837983831,0.0714285714286,23.7692307692,19,3.69230769231,-0.5
2024,5,very poor,4,good,,matrix,29,29,False,0.0754798806157,0.0740740740741,3,3,-0.00536999110288,0.00536888398717,0.430438460596,0.413793103448,0.0839313224015,0.0769230769231,19.2068965517,17,-0.336206896552,-1.75
2024,5,very poor,5,elite rush,,matrix,27,26,False,0.0711803517488,0.0612244897959,2.74074074074,3,-0.0276867186622,-0.0209030868455,0.466718814459,0.452380952381,0.088414543902,0.1,22.1851851852,23,0.657407407407,-1
2025,1,elite protection,1,very poor rush,,matrix,20,20,True,0.0464063860162,0.0430157261795,1.75,2,0.145004244571,0.164872932804,0.490514329085,0.484042553192,0.0795523612404,0.0809782608695,23.55,23.5,-1.375,0
2025,1,elite protection,2,poor,,matrix,30,30,False,0.049340165318,0.0450268817204,1.7,1,0.0866258492123,0.112170655688,0.471088947489,0.450680272109,0.0873386989845,0.0757142857143,23.4333333333,23,-1.01666666667,-1.25
2025,1,elite protection,3,average,,matrix,24,24,True,0.0576901983689,0.0501253132832,2.25,2,0.0634031087696,0.0911465882808,0.453805778068,0.486842105263,0.0969646807916,0.0822072072072,24.6666666667,22,1.07291666667,0.75
