window,outcome,model,term,n,games,coefficient,se,ci_low,ci_high,p_normal,clustered_by_game,signal_form
2022-2025 full,team_total_margin,pass_rush_z,intercept,2046,1023,0.422755619665,0.20246090994,0.0259322361827,0.819579003147,0.0367901542834,True,B rush
2022-2025 full,team_total_margin,pass_rush_z,pass_rush_z,2046,1023,-0.0909069772062,0.206740774841,-0.496118895894,0.314304941482,0.660143686413,True,B rush
2022-2025 full,team_total_margin,protection_z+pass_rush_z,intercept,2046,1023,0.423208758357,0.202626151315,0.0260615017807,0.820356014934,0.0367420651112,True,C additive
2022-2025 full,team_total_margin,protection_z+pass_rush_z,protection_z,2046,1023,-0.217734456226,0.20241206888,-0.61446211123,0.178993198778,0.282061903346,True,C additive
2022-2025 full,team_total_margin,protection_z+pass_rush_z,pass_rush_z,2046,1023,-0.0905205243321,0.206614494339,-0.495484933236,0.314443884572,0.661304271539,True,C additive
2022-2025 full,team_total_margin,protection_z+pass_rush_z+component_interaction,intercept,2046,1023,0.422931276595,0.20263037618,0.0257757392814,0.820086813908,0.0368695442676,True,D interaction
2022-2025 full,team_total_margin,protection_z+pass_rush_z+component_interaction,protection_z,2046,1023,-0.220408882135,0.202513870012,-0.617336067359,0.176518303089,0.276434280463,True,D interaction
2022-2025 full,team_total_margin,protection_z+pass_rush_z+component_interaction,pass_rush_z,2046,1023,-0.0885930364389,0.206600738389,-0.493530483681,0.316344410803,0.668059479488,True,D interaction
2022-2025 full,team_total_margin,protection_z+pass_rush_z+component_interaction,component_interaction,2046,1023,0.169523816889,0.202674353345,-0.227717915668,0.566765549446,0.402910523227,True,D interaction
2022,team_sack_rate,protection_z,intercept,414,207,0.0631505182026,0.0023379177803,0.0585681993532,0.0677328370519,1.08473979859e-160,True,A protection
2022,team_sack_rate,protection_z,protection_z,414,207,0.0101331875016,0.00237316593196,0.00548178227501,0.0147845927283,1.95558305477e-05,True,A protection
2022,team_sack_rate,pass_rush_z,intercept,414,207,0.0633260393857,0.00235771855564,0.0587049110166,0.0679471677547,6.61566680856e-159,True,B rush
2022,team_sack_rate,pass_rush_z,pass_rush_z,414,207,0.00556420193823,0.00235895745418,0.000940645328044,0.0101877585484,0.0183363728387,True,B rush
2022,team_sack_rate,protection_z+pass_rush_z,intercept,414,207,0.0631993548791,0.00234705416746,0.0585991287108,0.0677995810473,1.05808270146e-159,True,C additive
2022,team_sack_rate,protection_z+pass_rush_z,protection_z,414,207,0.0102248495329,0.00234419445435,0.00563022840234,0.0148194706634,1.2901131436e-05,True,C additive
2022,team_sack_rate,protection_z+pass_rush_z,pass_rush_z,414,207,0.00573293401456,0.00239118327025,0.00104621480488,0.0104196532242,0.0165060219461,True,C additive
2022,team_sack_rate,protection_z+pass_rush_z+component_interaction,intercept,414,207,0.0631817790827,0.00234616192784,0.0585833017042,0.0677802564613,9.82485212026e-160,True,D interaction
2022,team_sack_rate,protection_z+pass_rush_z+component_interaction,protection_z,414,207,0.0101572239651,0.00236237124101,0.0055269763327,0.0147874715975,1.71115618334e-05,True,D interaction
2022,team_sack_rate,protection_z+pass_rush_z+component_interaction,pass_rush_z,414,207,0.00582305627324,0.00239991907513,0.00111921488598,0.0105268976605,0.0152513325279,True,D interaction
2022,team_sack_rate,protection_z+pass_rush_z+component_interaction,component_interaction,414,207,-0.00120833250007,0.00232342824068,-0.00576225185181,0.00334558685166,0.603018634173,True,D interaction
2022,team_pass_epa_db,protection_z,intercept,414,207,0.0349120732739,0.0127703266048,0.0098822331284,0.0599419134193,0.00625998066414,True,A protection
2022,team_pass_epa_db,protection_z,protection_z,414,207,-0.0363402527762,0.0126063846509,-0.061048766692,-0.0116317388604,0.00394299851819,True,A protection
2022,team_pass_epa_db,pass_rush_z,intercept,414,207,0.0341339304469,0.0128330530467,0.00898114647548,0.0592867144184,0.00781766470733,True,B rush
2022,team_pass_epa_db,pass_rush_z,pass_rush_z,414,207,-0.0370068428578,0.0127220777897,-0.0619421153256,-0.01207157039,0.00362740174719,True,B rush
2022,team_pass_epa_db,protection_z+pass_rush_z,intercept,414,207,0.0345916330062,0.0126387436075,0.00981969553551,0.0593635704769,0.00620113641062,True,C additive
2022,team_pass_epa_db,protection_z+pass_rush_z,protection_z,414,207,-0.0369416902187,0.0124353120645,-0.0613149018651,-0.0125684785723,0.00297113415727,True,C additive
2022,team_pass_epa_db,protection_z+pass_rush_z,pass_rush_z,414,207,-0.0376164604442,0.0128410323467,-0.0627848838438,-0.0124480370447,0.00339622152269,True,C additive
