game_id,season,week,team,opponent,all_offEpa,all_offPlays,all_successNum,all_successDen,all_epaPosNum,all_epaPosDen,all_earlyEpa,all_earlyPlays,all_earlySuccessNum,all_earlySuccessDen,all_passEpa,all_passPlays,all_passSuccessNum,all_passSuccessDen,all_rushEpa,all_rushPlays,all_rushSuccessNum,all_rushSuccessDen,all_explosivePass,all_explosiveRush,all_thirdEpa,all_thirdPlays,all_thirdSuccessNum,all_thirdSuccessDen,all_thirdRawConvNum,all_thirdRawConvDen,all_sacks,all_dropbacks,filtered_offEpa,filtered_offPlays,filtered_successNum,filtered_successDen,filtered_epaPosNum,filtered_epaPosDen,filtered_earlyEpa,filtered_earlyPlays,filtered_earlySuccessNum,filtered_earlySuccessDen,filtered_passEpa,filtered_passPlays,filtered_passSuccessNum,filtered_passSuccessDen,filtered_rushEpa,filtered_rushPlays,filtered_rushSuccessNum,filtered_rushSuccessDen,filtered_explosivePass,filtered_explosiveRush,filtered_thirdEpa,filtered_thirdPlays,filtered_thirdSuccessNum,filtered_thirdSuccessDen,filtered_thirdRawConvNum,filtered_thirdRawConvDen,filtered_sacks,filtered_dropbacks,drivesOff,drivePointsOff,oppTouchdownAgainst,safetyAgainst
2026_01_WAS_PHI,2026,1,phi,wsh,1.4431364833579812,53,19,53,18,53,-7.966661629325241,39,13,39,4.607971143894128,34,12,34,-3.1648346605361466,19,7,19,5,1,9.409798112683223,14,6,14,6,14,3,34,1.4431364833579812,53,19,53,18,53,-7.966661629325241,39,13,39,4.607971143894128,34,12,34,-3.1648346605361466,19,7,19,5,1,9.409798112683223,14,6,14,6,14,3,34,12,24,0,0
2026_01_WAS_PHI,2026,1,wsh,phi,5.059256054296831,69,29,69,30,69,-2.399937359965414,52,22,52,6.406751253080346,40,14,40,-1.3474951987835122,29,15,29,5,2,2.9193341229797656,15,5,15,5,15,1,40,5.059256054296831,69,29,69,30,69,-2.399937359965414,52,22,52,6.406751253080346,40,14,40,-1.3474951987835122,29,15,29,5,2,2.9193341229797656,15,5,15,5,15,1,40,12,22,0,0
2026_02_CAR_ATL,2026,2,atl,car,-33.47328783255949,69,29,69,24,69,-18.165631444368067,53,24,53,-28.31486475809658,41,14,41,-5.158423074462918,28,15,28,2,2,-12.654729546465973,13,4,13,4,13,3,41,-13.970348343263923,35,13,35,13,35,-3.8230897607281937,27,11,27,-8.497984098863398,19,7,19,-5.472364244400525,16,6,16,2,1,-6.059632950123929,7,2,7,2,7,1,19,12,3,1,0
2026_02_CAR_ATL,2026,2,car,atl,2.3054015789265354,65,25,65,26,65,-0.27166548126841794,49,18,49,10.895132269276354,40,18,40,-8.589730690349821,25,7,25,5,1,1.971930759408552,14,6,14,6,14,2,40,9.951626018012467,46,20,46,19,46,2.5892677776282804,35,14,35,14.21448604573641,33,16,33,-4.262860027723943,13,4,13,5,1,3.4045276258574253,10,5,10,5,10,2,33,11,27,0,0
2026_02_CIN_HOU,2026,2,cin,hou,-6.287366726212153,59,22,59,18,59,-8.380366124387379,44,17,44,-0.5477255916431851,36,13,36,-5.739641134568967,23,9,23,7,2,2.092999398175227,15,5,15,5,15,5,36,1.2968555926834713,48,19,48,16,48,-4.419097367441294,36,14,36,3.80767593013827,31,12,31,-2.5108203374547986,17,7,17,7,2,5.715952960124767,12,5,12,5,12,4,31,13,20,0,0
2026_02_CIN_HOU,2026,2,hou,cin,-18.862084090732694,79,31,79,27,79,-4.610136304050664,57,26,57,-6.935452484258679,64,27,64,-11.92663160647402,15,4,15,10,1,-1.0968326973609943,18,5,18,5,18,4,64,-9.996316535304963,57,23,57,22,57,0.19847849290819836,44,21,44,0.726672619266205,43,19,43,-10.72298915457117,14,4,14,7,1,-2.540559664449874,11,2,11,2,11,0,43,13,6,0,0
2026_02_CLE_TB,2026,2,cle,tb,0.9653423307695679,56,22,55,25,56,1.280405955214528,42,17,41,12.295752046536569,36,18,36,-11.330409715767003,20,4,19,4,0,2.56421285957323,13,5,13,5,13,2,36,0.9653423307695679,56,22,55,25,56,1.280405955214528,42,17,41,12.295752046536569,36,18,36,-11.330409715767003,20,4,19,4,0,2.56421285957323,13,5,13,5,13,2,36,12,23,0,0
2026_02_CLE_TB,2026,2,tb,cle,-12.960556911233656,65,30,65,24,65,-8.21839253325015,46,23,46,-13.290704290224326,43,16,43,0.3301473789906676,22,14,22,3,3,-2.5457741814188974,18,7,18,7,18,3,43,-12.960556911233656,65,30,65,24,65,-8.21839253325015,46,23,46,-13.290704290224326,43,16,43,0.3301473789906676,22,14,22,3,3,-2.5457741814188974,18,7,18,7,18,3,43,11,19,0,0
2026_02_DET_BUF,2026,2,buf,det,31.160829393949836,71,42,71,42,71,18.355933069193284,59,33,59,21.597357321385072,42,25,42,9.563472072564762,29,17,29,6,5,12.804896324756548,12,9,12,9,12,2,42,25.609193110838554,59,36,59,35,59,14.363637942471563,48,28,48,17.443684271915135,38,21,38,8.165508838923417,21,15,21,5,4,11.245555168366987,11,8,11,8,11,2,38,9,41,0,0
2026_02_DET_BUF,2026,2,det,buf,18.29323129940275,65,31,65,32,65,9.09887017777617,50,25,50,23.026259092148393,46,25,46,-4.733027792745653,19,6,19,8,2,-0.3572737865615514,12,4,12,4,12,4,46,5.3922258115136925,42,20,42,20,42,3.8357391954279407,33,16,33,7.31909639720107,27,14,27,-1.9268705856873758,15,6,15,3,2,-2.7453332455479464,8,3,8,3,8,3,27,9,31,0,0
2026_02_GB_NYJ,2026,2,gb,nyj,-8.64998620716733,59,19,58,19,59,-3.4805828975811135,48,18,47,2.1037156926154204,38,11,37,-10.753701899782751,21,8,21,4,2,-4.9492040483762905,10,1,10,1,10,3,38,-8.64998620716733,59,19,58,19,59,-3.4805828975811135,48,18,47,2.1037156926154204,38,11,37,-10.753701899782751,21,8,21,4,2,-4.9492040483762905,10,1,10,1,10,3,38,12,20,0,0
2026_02_GB_NYJ,2026,2,nyj,gb,-6.541859397519169,73,31,73,28,73,-10.842117697291549,53,23,53,6.350570412265346,49,22,49,-12.892429809784515,24,9,24,4,2,7.1657303598767506,19,8,19,8,19,4,49,-6.541859397519169,73,31,73,28,73,-10.842117697291549,53,23,53,6.350570412265346,49,22,49,-12.892429809784515,24,9,24,4,2,7.1657303598767506,19,8,19,8,19,4,49,13,17,0,0
2026_02_IND_KC,2026,2,ind,kc,13.44506891470522,65,34,65,32,65,6.247245198581381,50,27,50,7.8338859380164845,35,17,35,5.61118297668873,30,17,30,3,4,2.945472273015195,13,5,13,5,13,0,35,13.44506891470522,65,34,65,32,65,6.247245198581381,50,27,50,7.8338859380164845,35,17,35,5.61118297668873,30,17,30,3,4,2.945472273015195,13,5,13,5,13,0,35,10,30,0,0
2026_02_IND_KC,2026,2,kc,ind,15.711004141067136,80,45,80,43,80,7.780777518402821,65,38,65,13.07067220674636,52,28,52,2.640331934320773,28,17,28,10,3,3.5788267966619998,13,5,13,5,13,2,52,15.711004141067136,80,45,80,43,80,7.780777518402821,65,38,65,13.07067220674636,52,28,52,2.640331934320773,28,17,28,10,3,3.5788267966619998,13,5,13,5,13,2,52,11,33,0,0
2026_02_JAX_DEN,2026,2,den,jax,7.613765111600431,59,30,59,28,59,14.17341322737049,49,26,49,10.26270441816172,33,17,33,-2.6489393065612883,26,13,26,8,4,-6.559648115770061,10,4,10,4,10,0,33,6.6296211330917725,57,29,57,27,57,13.189269248861832,47,25,47,10.26270441816172,33,17,33,-3.633083285069946,24,12,24,8,3,-6.559648115770061,10,4,10,4,10,0,33,9,20,0,0
2026_02_JAX_DEN,2026,2,jax,den,-2.93291794138913,60,24,60,27,60,1.5622837725860936,48,19,48,-4.431862151539645,36,13,36,1.4989442101505157,24,11,24,5,2,-4.495201713975222,12,5,12,5,12,2,36,-2.93291794138913,60,24,60,27,60,1.5622837725860936,48,19,48,-4.431862151539645,36,13,36,1.4989442101505157,24,11,24,5,2,-4.495201713975222,12,5,12,5,12,2,36,9,13,0,0
2026_02_LV_LAC,2026,2,lac,lv,-20.186833115634524,67,27,67,23,67,-15.00900226994417,52,22,52,-2.353668408924739,34,12,34,-17.833164706709788,33,15,33,4,3,-5.1778308456903535,15,5,15,5,15,3,34,-13.153956268322666,61,27,61,23,61,-11.32363124622497,47,22,47,4.679208438387121,28,12,28,-17.833164706709788,33,15,33,4,3,-1.8303250220976934,14,5,14,5,14,3,28,13,14,0,1
2026_02_LV_LAC,2026,2,lv,lac,-5.877446722170653,60,22,60,21,60,-5.714054830372326,44,17,44,7.589581510401345,33,15,33,-13.467028232571995,27,7,27,5,0,2.1254601944923874,14,4,14,4,14,2,33,-3.5738942422218045,57,21,57,21,57,-4.077512044110328,42,16,42,7.589581510401345,33,15,33,-11.163475752623146,24,6,24,5,0,2.7924698881792374,13,4,13,4,13,2,33,13,24,0,0
2026_02_MIA_SF,2026,2,mia,sf,-0.9218257881915104,60,19,60,24,60,-11.901631240325527,41,11,41,4.3829992045915045,31,10,31,-5.304824992783013,29,9,29,3,1,12.338400190430246,17,7,17,7,17,4,31,2.333794853325937,41,15,41,19,41,-5.8187977781635825,28,9,28,1.1274956628015493,20,7,20,1.20629919052439,21,8,21,2,1,6.290923857329892,12,5,12,5,12,3,20,8,13,0,0
2026_02_MIA_SF,2026,2,sf,mia,19.009368421742685,50,33,50,27,50,12.617976783541955,42,28,42,24.6538918595761,27,21,27,-5.644523437833415,23,12,23,10,0,6.391391638200728,8,5,8,5,8,0,27,16.88934538699685,27,20,27,17,27,9.87200518534518,24,17,24,18.713825790822725,15,13,15,-1.8244804038258742,12,7,12,5,0,7.01734020165167,3,3,3,3,3,0,15,8,35,0,0
2026_02_MIN_CHI,2026,2,chi,min,-10.056016877693054,73,25,72,23,73,-11.811583192466054,54,18,53,-1.0833152182378618,44,15,43,-8.972701659455193,29,10,29,5,4,0.3627816184969317,16,5,16,5,16,4,44,-10.056016877693054,73,25,72,23,73,-11.811583192466054,54,18,53,-1.0833152182378618,44,15,43,-8.972701659455193,29,10,29,5,4,0.3627816184969317,16,5,16,5,16,4,44,10,3,0,0
2026_02_MIN_CHI,2026,2,min,chi,-3.775361358238521,52,21,52,18,52,-0.5896503248368383,38,17,38,0.31490254705619336,25,7,25,-4.090263905294711,27,14,27,5,2,-4.884444654795008,13,3,13,3,13,3,25,-3.775361358238521,52,21,52,18,52,-0.5896503248368383,38,17,38,0.31490254705619336,25,7,25,-4.090263905294711,27,14,27,5,2,-4.884444654795008,13,3,13,3,13,3,25,9,9,0,0
2026_02_NO_BAL,2026,2,bal,no,5.646652743621245,57,37,57,35,57,7.557749663828874,48,33,48,2.964989128516037,39,22,39,2.6816636151052093,18,15,18,5,0,-1.9110969202076302,9,4,9,4,9,3,39,5.646652743621245,57,37,57,35,57,7.557749663828874,48,33,48,2.964989128516037,39,22,39,2.6816636151052093,18,15,18,5,0,-1.9110969202076302,9,4,9,4,9,3,39,8,17,0,0
