window,signal,group,n,games,ats_w,ats_l,ats_p,ats_cover_rate,ats_wilson_low,ats_wilson_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_win_rate,mean_score_margin,median_score_margin,opponent_points_mean,opponent_pass_epa_per_play_mean,opponent_pass_success_rate_mean,defense_sack_rate_mean,offense_pass_epa_per_play_mean,offense_pass_success_rate_mean,offense_rush_epa_per_play_mean,offense_rush_success_rate_mean
"2026 Week 1 prior-season","pass_rush_raw_percentile","15/31+","2","2","1","1","0","0.5","0.095","0.905","9","9","1","1","0","0.5","3","3","23.5","-0.059","0.429","0.052","0.051","0.544","0.037","0.435"
"2026 Week 1 prior-season","pass_rush_raw_percentile","20/31+","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","pass_protection","all","32","16","15","15","2","0.5","0.332","0.668","0","0","16","16","0","0.5","0","0","24.719","0.076","0.449","0.06","0.076","0.449","-0.093","0.498"
"2026 Week 1 prior-season","pass_protection","<=0","17","12","8","8","1","0.5","0.28","0.72","1.5","0","8","9","0","0.471","0.588","-1","23.176","0.115","0.46","0.058","0.113","0.457","-0.124","0.495"
"2026 Week 1 prior-season","pass_protection","1-4","7","5","4","3","0","0.571","0.25","0.842","-0.5","0.5","4","3","0","0.571","0.429","2","22","-0.095","0.375","0.088","-0.113","0.372","-0.057","0.49"
"2026 Week 1 prior-season","pass_protection","5-9","3","3","0","2","1","0","0","0.658","-11.167","-14.5","1","2","0","0.333","-10.667","-13","30.667","0.339","0.49","0.039","0.095","0.492","-0.132","0.522"
"2026 Week 1 prior-season","pass_protection","10-14","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","pass_protection","15-19","2","2","1","1","0","0.5","0.095","0.905","0.5","0.5","1","1","0","0.5","-0.5","-0.5","32","0.034","0.469","0.044","0.215","0.504","-0.072","0.42"
"2026 Week 1 prior-season","pass_protection","20+","3","3","2","1","0","0.667","0.208","0.939","3.5","15","2","1","0","0.667","6.667","18","29","0.02","0.498","0.034","0.199","0.5","0.024","0.556"
"2026 Week 1 prior-season","pass_protection","5+","8","7","3","4","1","0.429","0.158","0.75","-2.75","-1.25","4","4","0","0.5","-1.625","-1.5","30.375","0.143","0.488","0.038","0.164","0.498","-0.059","0.509"
