window,tier,edge_bucket,group,n,games,ats_w,ats_l,ats_p,ats_pct,ats_ci_low,ats_ci_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_pct,mean_score_margin,mean_qb_team_pass_epa_db,mean_sack_rate,mean_hits_allowed_rate,mean_cpoe,mean_yards_attempt,mean_pass_success_rate,mean_explosive_pass_rate,mean_qb_completion_pct,mean_qb_passer_rating,mean_qb_interceptions,mean_team_sack_fumbles,mean_sacks,mean_hits_allowed
2022-2023 explore,average,moderate disadvantage,average | moderate disadvantage,41,41,15,24,2,0.38461538461538464,0.24891162547007065,0.5410121868992154,-1.3780487804878048,-2.5,14,27,0,0.34146341463414637,-2.6097560975609757,-0.0353830182346461,0.08075419072295387,0.1712329620201317,0.21058231952170373,7.064658835817898,0.4428459113867897,0.08573195066626499,0.6388025144615034,87.01474669877706,0.6829268292682927,0.3902439024390244,3.1707317073170733,6.7560975609756095
2022-2023 explore,average,large disadvantage,average | large disadvantage,25,25,12,13,0,0.48,0.30031003928960015,0.6650178204685269,-2.62,-1.0,11,14,0,0.44,-4.6,0.009991250946030593,0.06606793659801571,0.17019223639046757,0.7672570876603327,6.967470883493258,0.44177992466368826,0.07559026702820894,0.6444304632401325,91.45099877465174,0.64,0.2,2.68,6.96
2022-2023 explore,average,extreme disadvantage,average | extreme disadvantage,28,28,16,11,1,0.5925925925925926,0.4072638305536409,0.7548548662714265,2.0892857142857144,2.5,11,16,1,0.4074074074074074,-2.0714285714285716,-0.05905304841909481,0.08194500188766866,0.18242152003743586,1.2811401084941234,6.372792548566826,0.4390118758913297,0.06998897771937178,0.6643247573173156,87.0075170557162,0.6785714285714286,0.42857142857142855,3.0,6.785714285714286
2022-2023 explore,vulnerable,favorable protection,vulnerable | favorable protection,43,43,23,17,3,0.575,0.42194800436059987,0.7149083147518411,0.8023255813953488,1.5,28,15,0,0.6511627906976745,3.7906976744186047,0.12275511577779367,0.053974653769059945,0.11111332146315006,0.6919888399164768,7.317876856713056,0.4737013842516447,0.09419376197984279,0.6452567159034829,94.15553675129519,0.5581395348837209,0.20930232558139536,2.0232558139534884,4.093023255813954
2022-2023 explore,vulnerable,neutral,vulnerable | neutral,51,50,20,30,1,0.4,0.2760818978624575,0.5381881089724063,-1.8725490196078431,-2.5,20,31,0,0.39215686274509803,-3.980392156862745,-0.020338841198970035,0.06265897747440718,0.12917246468877724,-0.5346408714792723,6.647648115706413,0.44986452471905264,0.08313896833455317,0.62617121735018,84.80286051273619,0.803921568627451,0.29411764705882354,2.5294117647058822,5.235294117647059
2022-2023 explore,vulnerable,moderate disadvantage,vulnerable | moderate disadvantage,20,20,8,11,1,0.42105263157894735,0.2314162039203038,0.6372444853483988,-2.225,-0.75,8,12,0,0.4,-4.55,-0.04076065667257732,0.10115906146152764,0.1783306224740691,-0.38783392321979326,6.9525146560215685,0.4484389745034245,0.07756284693928703,0.6327892357898118,86.68711011104445,0.5,0.6,3.75,6.7
2022-2023 explore,vulnerable,large disadvantage,vulnerable | large disadvantage,6,6,2,4,0,0.3333333333333333,0.09676933255921683,0.7000116786584712,-6.0,-7.5,2,4,0,0.3333333333333333,-12.833333333333334,-0.1345122808531016,0.06620618262297423,0.15669308203041335,-7.250607598853915,5.722531398118605,0.3803955165274506,0.04795323136152721,0.5799841398745071,66.51117824575367,1.1666666666666667,0.16666666666666666,2.5,6.0
2022-2023 explore,vulnerable,extreme disadvantage,vulnerable | extreme disadvantage,5,5,2,3,0,0.4,0.1176182311592533,0.769280067791163,2.5,-5.0,2,3,0,0.4,0.6,0.02972633568260554,0.0833013468013468,0.1781026936026936,1.2871621949074004,7.571448383805363,0.4208939393939394,0.08010540184453227,0.6663665091582712,88.54776929147638,0.8,0.6,3.8,8.2
2022-2023 explore,highly vulnerable,favorable protection,highly vulnerable | favorable protection,17,17,5,11,1,0.3125,0.14164435051961052,0.5559606813326594,0.08823529411764706,-2.5,9,8,0,0.5294117647058824,1.4705882352941178,0.0946611390648925,0.051010775830119204,0.10261811819756271,3.0182409170720303,7.657840346480364,0.4642241762710596,0.11578381354103422,0.6770375555107332,98.499050205574,0.6470588235294118,0.17647058823529413,2.235294117647059,4.470588235294118
2022-2023 explore,highly vulnerable,neutral,highly vulnerable | neutral,33,33,16,16,1,0.5,0.33630614316859386,0.6636938568314061,0.4696969696969697,0.0,15,18,0,0.45454545454545453,-0.7878787878787878,-0.0533957717245721,0.07980374311760485,0.14419250350820773,-0.7490098176330268,7.025704258456814,0.4187837776858416,0.0931039039770509,0.6277933345248411,86.35860148812401,0.7272727272727273,0.36363636363636365,3.090909090909091,5.696969696969697
2022-2023 explore,highly vulnerable,moderate disadvantage,highly vulnerable | moderate disadvantage,15,15,8,6,1,0.5714285714285714,0.3259026690286936,0.7861949006959948,1.9,1.0,5,10,0,0.3333333333333333,-4.4,-0.13797791790765854,0.1014368147747871,0.1924569230670986,-0.7414117358092756,6.5389205914245565,0.39823630304967117,0.07291098909224002,0.6187058887991639,80.40850622970017,1.1333333333333333,0.26666666666666666,3.8,7.133333333333334
2022-2023 explore,highly vulnerable,large disadvantage,highly vulnerable | large disadvantage,6,6,5,1,0,0.8333333333333334,0.43649056343635395,0.9699474141282697,1.4166666666666667,3.0,2,4,0,0.3333333333333333,-3.1666666666666665,0.05099778568472146,0.08868012392175662,0.1398955128455714,-1.8873053027943734,7.4495396937257405,0.43604600690272294,0.09415938092408681,0.69116739562476,101.44587952242989,0.16666666666666666,0.3333333333333333,3.1666666666666665,5.166666666666667
2022-2023 explore,highly vulnerable,extreme disadvantage,highly vulnerable | extreme disadvantage,8,8,3,4,1,0.42857142857142855,0.15821692226262685,0.7495457695909742,1.3125,-2.0,2,6,0,0.25,-4.875,-0.008981092109111903,0.08341500117815906,0.1608964987254461,2.9807080847139313,7.174082449035392,0.46666706831180516,0.09387085306292622,0.656692181880411,93.60825265685916,0.625,0.625,3.375,6.75
2024-2025 validate,resilient,favorable protection,resilient | favorable protection,60,60,33,26,1,0.559322033898305,0.4328913027042265,0.6784998776603726,1.4416666666666667,1.5,41,19,0,0.6833333333333333,5.433333333333334,0.161400052261234,0.04354187928359541,0.12907367142711657,1.6404995974347825,7.4684065053298205,0.49297344076740723,0.10012961407024971,0.6561543907064072,98.67676526326458,0.5,0.21666666666666667,1.5833333333333333,4.783333333333333
