window,group,n,games,ats_w,ats_l,ats_p,ats_pct,ats_ci_low,ats_ci_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_pct,mean_score_margin,mean_qb_team_pass_epa_db,mean_sack_rate,mean_hits_allowed_rate,mean_cpoe,mean_yards_attempt,mean_pass_success_rate,mean_explosive_pass_rate,mean_qb_completion_pct,mean_qb_passer_rating,mean_qb_interceptions,mean_team_sack_fumbles,mean_sacks,mean_hits_allowed
2023-2025,vulnerable + edge + underdog,28,28,13,13,2,0.5,0.32060306315002074,0.6793969368499793,-1.1785714285714286,0.0,8,20,0,0.2857142857142857,-8.642857142857142,-0.09200931112021617,0.08996242803189881,0.18129010038144336,-4.128784661885576,6.191723089080577,0.39324988066564176,0.0701294307082008,0.6058905245087028,81.53454742299273,0.75,0.32142857142857145,3.3214285714285716,6.678571428571429
2023-2025,vulnerable + edge + favorite,11,11,7,4,0,0.6363636363636364,0.35379677689163724,0.8483377638586862,4.5,3.5,8,3,0,0.7272727272727273,10.363636363636363,0.096893140210899,0.0752353833798814,0.1404156626414963,-0.11556942637184536,7.738587908049791,0.4600121216308114,0.11743501186311779,0.6290547798460694,92.74381410892326,0.5454545454545454,0.09090909090909091,3.090909090909091,5.7272727272727275
2023-2025,vulnerable + edge + high prior pass rate,22,22,11,10,1,0.5238095238095238,0.32369217900266756,0.7165628770323705,0.75,0.25,6,16,0,0.2727272727272727,-6.136363636363637,-0.044143226337278456,0.08820740183226325,0.17013462188207834,-1.973613372934925,6.6742924252913784,0.4033777773318603,0.07842836302861586,0.6338785372910126,86.26407921047466,0.7272727272727273,0.3181818181818182,3.3181818181818183,6.5
2023-2025,fixed z vulnerability >=0.5 + edge >=1 + gate 50,19,18,9,7,3,0.5625,0.33178195606776517,0.7690163666481448,1.236842105263158,0.0,7,12,0,0.3684210526315789,-3.4210526315789473,-0.05551040648216465,0.06767405347343376,0.1492865601560175,-3.0814969254541222,6.059666797527136,0.40485294745311995,0.06651023097140103,0.6299163444828517,85.68718326578693,0.42105263157894735,0.3157894736842105,2.473684210526316,5.526315789473684
2023-2025,fixed z vulnerability >=0.5 + edge >=1 + gate 100,15,15,7,6,2,0.5384615384615384,0.2914343243183205,0.7679424569851186,-0.5666666666666667,0.0,5,10,0,0.3333333333333333,-7.066666666666666,-0.03741523018674019,0.0634270204395688,0.1411760816107276,-2.1162508501026567,6.10921965651247,0.41398182460870975,0.06810311203179956,0.6304471582802187,84.76304864169414,0.5333333333333333,0.26666666666666666,2.466666666666667,5.533333333333333
2023-2025,fixed z vulnerability >=0.5 + edge >=1 + gate 200,10,10,4,4,2,0.5,0.21521252682444186,0.7847874731755582,-2.4,0.0,3,7,0,0.3,-7.9,-0.08931270593948486,0.060801906320728884,0.14604554669751563,-4.365757296532888,5.8810253986109595,0.39853243947276723,0.06731022029076948,0.6041192249084496,79.79755091277524,0.8,0.3,2.7,6.2
2023-2025,vulnerable + edge + favorite 0-3,5,5,3,2,0,0.6,0.23071993220883708,0.8823817688407467,5.7,0.5,3,2,0,0.6,8.0,0.12128908944128403,0.07304562121351685,0.13184866833760764,2.194558606345764,8.072941945803912,0.44233222314334053,0.13167508417508417,0.6463420220134399,87.48492968149446,0.8,0.2,3.2,5.8
2023-2025,vulnerable + edge + favorite 3.5-6.5,3,3,2,1,0,0.6666666666666666,0.2076549551264879,0.9385096847238394,1.5,3.5,2,1,0,0.6666666666666666,6.0,0.1422873684293627,0.07425925925925926,0.13203703703703704,-0.7281101626086196,7.499962189957652,0.49,0.13207047791893525,0.6575733514821537,104.58115925589836,0.0,0.0,3.3333333333333335,5.666666666666667
2023-2025,vulnerable + edge + favorite 7+,3,3,2,1,0,0.6666666666666666,0.2076549551264879,0.9385096847238394,5.5,5.5,3,0,0,1.0,18.666666666666668,0.010838996608460235,0.0798611111111111,0.16307261208576998,-3.3532420779977534,7.419956896551724,0.45949074074074076,0.07906609195402299,0.5717241379310345,89.67127634099616,0.6666666666666666,0.0,2.6666666666666665,5.666666666666667
2023-2025,vulnerable + edge + underdog 0-3,6,6,4,1,1,0.8,0.3755282641185388,0.9637768390302125,4.416666666666667,5.25,4,2,0,0.6666666666666666,2.0,-0.03976225435015837,0.09820867623535201,0.18779829761361908,-3.8089953043166758,6.512383715575204,0.4240869215903416,0.08760398098633393,0.5983597371895244,87.3063333435674,0.6666666666666666,0.5,3.3333333333333335,5.833333333333333
2023-2025,vulnerable + edge + underdog 3.5-6.5,7,7,5,2,0,0.7142857142857143,0.35892909014821267,0.9177828342909844,2.2857142857142856,6.5,4,3,0,0.5714285714285714,-3.5714285714285716,0.039057364129872194,0.04825480159826664,0.1418672056969929,-2.64047503750638,6.180081983653413,0.4208191158039182,0.07409103365976681,0.6117638394424109,88.97148540005682,0.2857142857142857,0.14285714285714285,2.2857142857142856,6.142857142857143
2023-2025,vulnerable + edge + underdog 7+,15,15,4,10,1,0.2857142857142857,0.11721187910109099,0.5464954117248438,-5.033333333333333,-3.5,0,15,0,0.0,-15.266666666666667,-0.1740725822782805,0.1061274877528792,0.19708417234131664,-4.951244896290094,6.068891354348736,0.3680494212312329,0.0612908625528834,0.6061619591339773,75.75526199879964,1.0,0.3333333333333333,3.8,7.266666666666667
2023-2025,vulnerable + edge + home,21,21,10,9,2,0.5263157894736842,0.31707482511825114,0.7267049451255145,2.119047619047619,0.0,10,11,0,0.47619047619047616,0.19047619047619047,0.019845089609867275,0.0744420061100601,0.16052191838440558,-0.1092189416080118,6.887754001788243,0.42807304737682966,0.09040547463560654,0.6487655608457508,90.57094845303384,0.7142857142857143,0.3333333333333333,3.0,6.238095238095238
2023-2025,vulnerable + edge + away,16,16,8,8,0,0.5,0.2799923761135083,0.7200076238864916,-2.3125,0.25,5,11,0,0.3125,-8.5,-0.07351988271271366,0.08624293689752749,0.16060642104247458,-5.841216190601724,6.589289192083391,0.40926975812321326,0.07308713893601128,0.5799647386786244,80.75764772691929,0.6875,0.1875,3.1875,6.0625
2022-2023 explore,all,804,456,379,390,35,0.4928478543563069,0.4576352325274081,0.5281315791970126,-0.05907960199004975,0.0,407,395,2,0.5074812967581047,0.2972636815920398,0.04513160871790096,0.06312318757722352,0.14372199294824547,0.5130066712878588,7.163439266923556,0.462476986075698,0.09075908700395081,0.647633774809309,90.4948175130518,0.722636815920398,0.29850746268656714,2.4800995024875623,5.696517412935323
2022-2023 explore,edge top quartile,156,144,75,72,9,0.5102040816326531,0.43016726976996955,0.5897211429755861,-0.035256410256410256,0.0,62,92,2,0.4025974025974026,-3.1346153846153846,-0.021574547748254805,0.08084253423107701,0.18271688728978405,0.7236037006300063,6.973072384148084,0.4378043594736143,0.08515740766659438,0.642816364817539,87.79872568259978,0.7371794871794872,0.3782051282051282,3.128205128205128,7.134615384615385
2022-2023 explore,edge top 20%,130,122,63,60,7,0.5121951219512195,0.4248356555093271,0.5988158909864598,-0.28846153846153844,0.0,51,77,2,0.3984375,-3.6307692307692307,-0.013370656187479535,0.08006546473250575,0.18215814465262944,0.6589266866479626,6.933791898032024,0.43861137809310585,0.08433693031440871,0.6435236832426883,87.85254933731339,0.7,0.38461538461538464,3.123076923076923,7.153846153846154
2022-2023 explore,edge top 10%,70,68,30,34,6,0.46875,0.3517578764404486,0.5892812499952487,-1.4285714285714286,0.0,23,46,1,0.3333333333333333,-5.8,-0.05961447076129821,0.0880344490068315,0.19370636574008704,0.41846133787423756,6.5813003249678745,0.41950600118229237,0.08187169058964351,0.6372708473818037,85.25794038734908,0.6857142857142857,0.4714285714285714,3.442857142857143,7.585714285714285
2022-2023 explore,edge z >=0.5,220,203,104,105,11,0.49760765550239233,0.4304781148226849,0.5648235555274722,-0.4022727272727273,0.0,87,131,2,0.39908256880733944,-3.268181818181818,-0.024216871332676294,0.08192372349449441,0.177643891089477,0.5741541495868329,6.965630741152834,0.4403779929797635,0.08387206364866351,0.6440534347323866,87.83577424504293,0.740909090909091,0.41818181818181815,3.15,6.95
