season,week,game_id,kickoff_utc,team,opponent,defense_prior_games,offense_prior_games,defense_prior_hit_rate,offense_prior_hit_allowed_rate,historical_pass_rush_edge_z,edge_prior_percentile
2024,10,2024_10_ATL_NO,2024-11-10T18:00:00.000Z,atl,no,8,8,0.1021021021021021,0.1540983606557377,-0.8921095646759484,0.18820678513731826
2024,10,2024_10_ATL_NO,2024-11-10T18:00:00.000Z,no,atl,8,8,0.09705882352941177,0.15723270440251572,-0.9553088453601999,0.16962843295638125
2024,10,2024_10_BUF_IND,2024-11-10T18:00:00.000Z,buf,ind,8,8,0.132013201320132,0.09246575342465753,-1.3433108046559163,0.08562197092084006
2024,10,2024_10_BUF_IND,2024-11-10T18:00:00.000Z,ind,buf,8,8,0.14968152866242038,0.13945578231292516,-0.009403583155971897,0.5121163166397416
2024,10,2024_10_DEN_KC,2024-11-10T18:00:00.000Z,den,kc,8,8,0.16822429906542055,0.08544303797468354,-0.592423213183237,0.27463651050080773
2024,10,2024_10_DEN_KC,2024-11-10T18:00:00.000Z,kc,den,8,8,0.17313432835820897,0.14285714285714285,0.6294842854860629,0.7617124394184168
2024,10,2024_10_MIN_JAX,2024-11-10T18:00:00.000Z,jax,min,8,8,0.17391304347826086,0.11705685618729098,0.15340463679752014,0.5864297253634895
2024,10,2024_10_MIN_JAX,2024-11-10T18:00:00.000Z,min,jax,8,8,0.10479041916167664,0.14736842105263157,-0.9555104241371501,0.16962843295638125
2024,10,2024_10_NE_CHI,2024-11-10T18:00:00.000Z,chi,ne,8,8,0.11224489795918367,0.14912280701754385,-0.7395193584640305,0.2334410339256866
2024,10,2024_10_NE_CHI,2024-11-10T18:00:00.000Z,ne,chi,8,8,0.17465753424657535,0.19760479041916168,1.7173849759625865,0.9491114701130856
2024,10,2024_10_PIT_WAS,2024-11-10T18:00:00.000Z,pit,wsh,8,8,0.17110266159695817,0.18772563176895307,1.440851180521354,0.9264943457189014
2024,10,2024_10_PIT_WAS,2024-11-10T18:00:00.000Z,wsh,pit,8,8,0.1858974358974359,0.11784511784511785,0.4616486521275294,0.697092084006462
2024,10,2024_10_SF_TB,2024-11-10T18:00:00.000Z,sf,tb,8,8,0.14130434782608695,0.11589403973509933,-0.6664607740367748,0.252827140549273
2024,10,2024_10_SF_TB,2024-11-10T18:00:00.000Z,tb,sf,8,8,0.15946843853820597,0.07988165680473373,-0.9133026511937343,0.18578352180936994
2024,10,2024_10_TEN_LAC,2024-11-10T21:05:00.000Z,lac,ten,8,8,0.125,0.2029520295202952,0.5436508606575348,0.7308306709265175
2024,10,2024_10_TEN_LAC,2024-11-10T21:05:00.000Z,ten,lac,8,8,0.11782477341389729,0.17857142857142858,-0.0857426812119227,0.4712460063897764
2024,10,2024_10_NYJ_ARI,2024-11-10T21:25:00.000Z,ari,nyj,8,8,0.17049180327868851,0.07633587786259542,-0.7315331395050352,0.23604465709728867
2024,10,2024_10_NYJ_ARI,2024-11-10T21:25:00.000Z,nyj,ari,8,8,0.1305732484076433,0.1592920353982301,-0.14049156657804393,0.4449760765550239
2024,10,2024_10_PHI_DAL,2024-11-10T21:25:00.000Z,dal,phi,8,8,0.13442622950819672,0.13262599469496023,-0.5495970004563572,0.2894736842105263
2024,10,2024_10_PHI_DAL,2024-11-10T21:25:00.000Z,phi,dal,8,8,0.16104868913857678,0.137546468401487,0.19293563190548618,0.5980861244019139
2024,10,2024_10_DET_HOU,2024-11-11T01:20:00.000Z,det,hou,8,8,0.17777777777777778,0.176,1.3392233027926757,0.9149443561208267
2024,10,2024_10_DET_HOU,2024-11-11T01:20:00.000Z,hou,det,8,8,0.14058355437665782,0.16091954022988506,0.14835935615793006,0.5842607313195548
2024,10,2024_10_MIA_LA,2024-11-12T01:15:00.000Z,lar,mia,8,8,0.11742424242424243,0.16878980891719744,-0.26252477244494266,0.3976190476190476
