window,signal_form,outcome,model,term,n,games,coefficient,se,ci_low,ci_high,p_normal,clustered_by_game
2024-2025 heldout,D adjusted + QB,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z,intercept,969,511,0.0846416048678,0.00943965225339,0.0661398864512,0.103143323284,3.05802695694e-19,True
2024-2025 heldout,D adjusted + QB,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z,adjusted_protection_z,969,511,-0.052280280538,0.0102914188591,-0.0724514615017,-0.0321090995743,3.7745943815e-07,True
2024-2025 heldout,D adjusted + QB,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z,qb_vulnerability_z,969,511,-0.0455558588951,0.0274667179863,-0.0993906261483,0.00827890835814,0.0971996487445,True
2022-2023 exploratory,E raw + QB,team_pass_epa_db,raw_protection_z+qb_vulnerability_z,intercept,632,356,0.0372742101211,0.0109320884585,0.0158473167425,0.0587011034997,0.000650547024833,True
2022-2023 exploratory,E raw + QB,team_pass_epa_db,raw_protection_z+qb_vulnerability_z,raw_protection_z,632,356,-0.0505722905295,0.011054529804,-0.0722391689454,-0.0289054121137,4.76669442045e-06,True
2022-2023 exploratory,E raw + QB,team_pass_epa_db,raw_protection_z+qb_vulnerability_z,qb_vulnerability_z,632,356,-0.0752850440362,0.025843049622,-0.125937421295,-0.0246326667771,0.00357786543963,True
2024-2025 heldout,E raw + QB,team_pass_epa_db,raw_protection_z+qb_vulnerability_z,intercept,969,511,0.0846087096332,0.0094422930564,0.0661018152427,0.103115604024,3.22885905584e-19,True
2024-2025 heldout,E raw + QB,team_pass_epa_db,raw_protection_z+qb_vulnerability_z,raw_protection_z,969,511,-0.0535958344973,0.0102209693504,-0.0736289344242,-0.0335627345705,1.57376548861e-07,True
2024-2025 heldout,E raw + QB,team_pass_epa_db,raw_protection_z+qb_vulnerability_z,qb_vulnerability_z,969,511,-0.0458918225498,0.0274666747949,-0.0997265051478,0.00794286004833,0.094757575202,True
2022-2023 exploratory,F adjusted + QB + rush,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,intercept,632,356,0.0368690153581,0.0109682622351,0.0153712213772,0.0583668093389,0.000775407854063,True
2022-2023 exploratory,F adjusted + QB + rush,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,adjusted_protection_z,632,356,-0.049836163078,0.0111926937045,-0.0717738427389,-0.0278984834171,8.48517136074e-06,True
2022-2023 exploratory,F adjusted + QB + rush,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,qb_vulnerability_z,632,356,-0.0702799681609,0.0255961445017,-0.120448411384,-0.0201115249375,0.00603773910953,True
2022-2023 exploratory,F adjusted + QB + rush,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,pass_rush_z,632,356,-0.027817555652,0.012432008133,-0.0521842915927,-0.00345081971127,0.0252487568321,True
2024-2025 heldout,F adjusted + QB + rush,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,intercept,969,511,0.0849040018667,0.00939761116684,0.0664846839797,0.103323319754,1.64548231516e-19,True
2024-2025 heldout,F adjusted + QB + rush,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,adjusted_protection_z,969,511,-0.0511052637,0.0103596354397,-0.0714101491617,-0.0308003782382,8.09288452918e-07,True
2024-2025 heldout,F adjusted + QB + rush,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,qb_vulnerability_z,969,511,-0.0456106747361,0.0272305962746,-0.0989826434342,0.00776129396211,0.0939383677211,True
2024-2025 heldout,F adjusted + QB + rush,team_pass_epa_db,adjusted_protection_z+qb_vulnerability_z+pass_rush_z,pass_rush_z,969,511,-0.0269242622191,0.00922610694605,-0.0450074318334,-0.00884109260487,0.00351980520098,True
2022-2023 exploratory,A raw protection,team_pass_success_rate,raw_protection_z,intercept,632,356,0.458379051034,0.00380041769138,0.450930232359,0.465827869709,0,True
2022-2023 exploratory,A raw protection,team_pass_success_rate,raw_protection_z,raw_protection_z,632,356,-0.0157533153715,0.00356687936007,-0.0227443989172,-0.00876223182575,1.00286847235e-05,True
2024-2025 heldout,A raw protection,team_pass_success_rate,raw_protection_z,intercept,969,511,0.468934247719,0.00309405115735,0.462869907451,0.474998587988,0,True
